Symbols,Healthy_1,Healthy_2,Healthy_3,Healthy_4,Healthy_5,Tumor_1,Tumor_2,Tumor_3,Tumor_4,Tumor_5,Tumor_6,Tumor_7,Tumor_8,Tumor_9,Tumor_10,Tumor_11,Tumor_12,Tumor_13,Tumor_14,Tumor_15
OR4N5,3.72311315,3.629765404,3.172688713,3.505227783,3.45394146,3.580377098,3.223724108,3.512866137,3.660900634,3.821040011,3.279327545,3.554470895,3.260816844,3.461924061,3.333214832,3.436053246,3.371392327,3.490119387,3.516847977,3.633492457
OR4P4,2.567834959,2.306763277,2.354165757,2.762022256,3.10527985,3.327298364,2.632333481,2.495933317,2.67023478,3.023815422,2.646652186,2.868275737,2.546042812,2.483685159,2.692091905,2.467297875,2.584054991,2.647291317,3.529805744,2.898067853
OR4Q3,2.713762042,3.465373748,2.601702443,2.6317262,3.168984149,2.907096805,2.731679495,2.694089677,3.031624817,3.61294847,2.736670055,2.850438605,2.835958731,2.915561007,3.638683737,2.509508649,2.671055533,2.91498488,3.149643682,3.075583881
OR4S1,3.165725053,3.378711079,3.202179198,3.110858003,3.233375465,3.644151379,3.214593419,3.127179664,2.947235818,2.898229134,3.162816981,3.623283587,3.364197517,3.392509095,3.495405041,3.031190634,3.27747313,3.685787173,3.461548899,3.509283598
OR4S2,2.808965508,3.032851592,2.64961725,2.884212657,2.627582358,3.250314587,2.444551391,2.65331501,3.021365488,3.123430294,2.537329473,2.891909246,3.130149994,2.639462072,3.059164779,2.82018419,2.797132653,2.719607994,3.504245241,2.521354757
OR4X1,2.819158692,3.391625257,3.007133443,3.10845159,3.103676042,2.847688584,2.609500664,2.93703386,2.943938282,3.483350977,3.170573276,3.314813837,3.190879794,2.844628896,3.150678799,3.142255523,3.118929135,3.45662677,2.956009322,2.997366799
OR4X2,3.077746912,3.263219351,2.702954749,3.22135654,2.813267368,3.329189442,2.749860463,2.850190644,3.275641653,2.844032987,3.152080736,3.210302029,2.88900088,2.758163149,3.083660758,2.655620321,2.647345599,3.281024926,3.219627119,2.793391488
OR51A2,3.079480967,3.660802435,3.112597912,3.091121003,3.681049254,3.116848386,2.73450125,2.808380219,3.149085344,2.691782626,2.728668305,2.772013332,3.243244449,3.138817094,3.213284954,2.541426752,2.649159255,3.026294905,3.17945708,2.629873556
OR51A4,3.451160727,3.542270459,4.142135198,4.285959836,4.589425918,3.968747738,3.432495067,3.96954632,3.918804424,4.071657057,3.792065847,4.116601047,3.78482502,3.324809043,4.623396116,3.667654615,4.032008469,4.40290576,4.323692649,3.866639711
OR51A7,2.73095013,2.258402607,2.555228974,2.131443737,2.872426503,2.1941872,2.188044744,2.160465168,2.565683383,2.082653054,2.527199747,2.830033695,2.496583319,1.956410353,2.421401007,2.164448064,2.182931844,2.431049339,2.78595539,3.129475991
